Date : 2025-06-14 21:07:48
Directory : /Users/prafullprince/Desktop/StudyForge/IdeaForge
Total : 175 files,  20790 codes, 1403 comments, 1463 blanks, all 23656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/AddModal.tsx                  | TypeScript JSX     |        258 |         18 |         15 |        291 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/ViewModal.tsx                 | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/builder/CourseBuilder.tsx     | TypeScript JSX     |        203 |         18 |         12 |        233 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/builder/Section.tsx           | TypeScript JSX     |        160 |         12 |          8 |        180 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/info/CourseInfo.tsx           | TypeScript JSX     |        415 |         28 |         16 |        459 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/publish/CoursePublish.tsx     | TypeScript JSX     |         53 |          6 |         10 |         69 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Cart/CartItem.tsx                       | TypeScript JSX     |         67 |          5 |          6 |         78 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Cart/CartPage.tsx                       | TypeScript JSX     |         35 |          4 |          4 |         43 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CatalogPage/CategoryTab.tsx             | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CatalogPage/Header.tsx                  | TypeScript JSX     |         26 |          6 |          3 |         35 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Chat/ChatSidebar.tsx                    | TypeScript JSX     |        144 |         10 |         11 |        165 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Chat/ChatUser.tsx                       | TypeScript JSX     |        212 |         21 |         23 |        256 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/CourseContent.tsx     | TypeScript JSX     |         66 |          9 |          5 |         80 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/InstructorDetails.tsx | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/RatingAndReviews.tsx  | TypeScript JSX     |         24 |          0 |          3 |         27 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/SubSectionContent.tsx | TypeScript JSX     |         25 |          0 |          4 |         29 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Dashboard/Sidebar.tsx                   | TypeScript JSX     |         96 |         30 |         10 |        136 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Dashboard/SidebarLink.tsx               | TypeScript JSX     |         34 |          4 |          8 |         46 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/CodeBlocks.tsx                 | TypeScript JSX     |         78 |          2 |          5 |         85 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/HighlightButton.tsx            | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/HighlightText.tsx              | TypeScript JSX     |          8 |          0 |          5 |         13 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/LearningSection.tsx            | TypeScript JSX     |         21 |         18 |         10 |         49 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/MyCourse/CourseTable.tsx                | TypeScript JSX     |         98 |         10 |          9 |        117 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Navbar/Catalog.tsx                      | TypeScript JSX     |          0 |          0 |          6 |          6 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Navbar/LoggedUser.tsx                   | TypeScript JSX     |        158 |         17 |         12 |        187 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Navbar/NavLink.tsx                      | TypeScript JSX     |         29 |         32 |          9 |         70 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Navbar/NullUser.tsx                     | TypeScript JSX     |        105 |          8 |          8 |        121 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Navbar/ProfileDropDown.tsx              | TypeScript JSX     |         72 |          4 |          9 |         85 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Watch/LectureContent.tsx                | TypeScript JSX     |        165 |         25 |         17 |        207 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Watch/SidebarContent.tsx                | TypeScript JSX     |        138 |         10 |         11 |        159 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/LoginForm.tsx                      | TypeScript JSX     |        102 |         12 |         13 |        127 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/OpenRoute.tsx                      | TypeScript JSX     |         12 |          0 |          4 |         16 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/PrivateRoute.tsx                   | TypeScript JSX     |         12 |          0 |          5 |         17 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/ResetPasswordForm.tsx              | TypeScript JSX     |        114 |         11 |         13 |        138 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/ResetPwdTokenForm.tsx              | TypeScript JSX     |         81 |          9 |         10 |        100 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/SignupForm.tsx                     | TypeScript JSX     |        212 |         19 |         19 |        250 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/Template.tsx                       | TypeScript JSX     |         69 |         10 |          4 |         83 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/auth/VerifyEmailForm.tsx                | TypeScript JSX     |         62 |         10 |         15 |         87 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/ChatModal.tsx                    | TypeScript JSX     |         60 |          6 |          9 |         75 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/ConfirmationModal.tsx            | TypeScript JSX     |         49 |          5 |          7 |         61 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/ConnectionModal.tsx              | TypeScript JSX     |         99 |          6 |          8 |        113 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/Corousel.tsx                     | TypeScript JSX     |         37 |          3 |          7 |         47 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/CourseCard.tsx                   | TypeScript JSX     |         29 |          6 |          6 |         41 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/Footer.tsx                       | TypeScript JSX     |        162 |          5 |         15 |        182 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/Navbar.tsx                       | TypeScript JSX     |         27 |          7 |         11 |         45 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/NotModal.tsx                     | TypeScript JSX     |         78 |         10 |         12 |        100 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/ProfileView.tsx                  | TypeScript JSX     |         52 |          5 |          6 |         63 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/SearchModal.tsx                  | TypeScript JSX     |         81 |          7 |          7 |         95 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/Tab.tsx                          | TypeScript JSX     |         21 |          1 |          5 |         27 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/common/UserCourses.tsx                  | TypeScript JSX     |         60 |          3 |          3 |         66 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/spinners/Spinner1.tsx                   | TypeScript JSX     |          8 |          0 |          3 |         11 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/spinners/Spinner2.tsx                   | TypeScript JSX     |          9 |          0 |          4 |         13 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/ui/input.tsx                            | TypeScript JSX     |         54 |          1 |          7 |         62 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/data/countrycode.json                              | JSON               |        782 |          0 |          0 |        782 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/data/dashboard-links.ts                            | TypeScript         |         54 |          0 |          4 |         58 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/data/footer-links.ts                               | TypeScript         |         55 |          0 |          1 |         56 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/data/homepage-explore.ts                           | TypeScript         |        142 |          0 |          4 |        146 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/data/navbar-links.ts                               | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/global/global.d.ts                                 | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/hooks/useSocket.ts                                 | TypeScript         |          2 |          9 |          2 |         13 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/index.css                                          | CSS                |          3 |          0 |          0 |          3 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/lib/constants.ts                                   | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/lib/utils.ts                                       | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/main.tsx                                           | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/AboutPage.tsx                                | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/CatalogPage.tsx                              | TypeScript JSX     |         90 |         12 |          8 |        110 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/ChatPage.tsx                                 | TypeScript JSX     |         57 |          6 |          7 |         70 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/ContactPage.tsx                              | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/CoursePageDetails.tsx                        | TypeScript JSX     |        174 |         39 |         18 |        231 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/Dashboard/AddCourse.tsx                      | TypeScript JSX     |         61 |          8 |          7 |         76 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/Dashboard/Dashboard.tsx                      | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/Dashboard/MyCourses.tsx                      | TypeScript JSX     |        125 |         16 |         15 |        156 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/Dashboard/Profile.tsx                        | TypeScript JSX     |        162 |         18 |         13 |        193 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/Dashboard/PurchasedHistory.tsx               | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/Dashboard/Setting.tsx                        | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/DashboardLayoutPage.tsx                      | TypeScript JSX     |         33 |          5 |          7 |         45 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/EnrolledCourse.tsx                           | TypeScript JSX     |         40 |         22 |          9 |         71 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/HomePage.tsx                                 | TypeScript JSX     |         82 |         12 |          5 |         99 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/LoginPage.tsx                                | TypeScript JSX     |         14 |          0 |          4 |         18 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/ResetPassword.tsx                            | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/ResetPasswordToken.tsx                       | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/SearchResult.tsx                             | TypeScript JSX     |         81 |         10 |         15 |        106 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/SignupPage.tsx                               | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/UserProfile.tsx                              | TypeScript JSX     |        159 |         18 |         17 |        194 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/VerifyEmail.tsx                              | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/pages/WatchCourse.tsx                              | TypeScript JSX     |         37 |          3 |          6 |         46 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/api.ts                                    | TypeScript         |         60 |         12 |         12 |         84 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/auth.ts                           | TypeScript         |        109 |         33 |         22 |        164 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/category.ts                       | TypeScript         |         25 |          6 |          6 |         37 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/chat.ts                           | TypeScript         |         31 |          6 |          8 |         45 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/course.ts                         | TypeScript         |        204 |         48 |         37 |        289 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/extra.ts                          | TypeScript         |         60 |          6 |         13 |         79 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/payment.ts                        | TypeScript         |        109 |         11 |         13 |        133 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/profile.ts                        | TypeScript         |         72 |         14 |         17 |        103 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiCall/rating.ts                         | TypeScript         |         24 |          6 |          6 |         36 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/services/apiConnector.ts                           | TypeScript         |         12 |         10 |          4 |         26 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/slices/authSlice.ts                                | TypeScript         |         33 |         11 |          8 |         52 |
| /Users/prafullprince/Desktop/StudyForge/IdeaForge/src/slices/cartSlice.ts                                | TypeScript         |         28 |          4 |          6 |         38 |
